id,baslik,url,metin,kitap_adi,yayin_yili,donem,metin_uzunluk,kelime_sayisi
250,Mersin'de Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/mersin-de-siiri/,,,,Belirsiz,0,0
251,Birinci Mektup Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/birinci-mektup-siiri/,,,,Belirsiz,0,0
252,Uzuyor Yıllar Gibi Dakikalar Sen Yoksan,https://www.antoloji.com/uzuyor-yillar-gibi-dakikalar-sen-yoksan-siiri/,,,,Belirsiz,0,0
253,Hatırlar Mısın Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/hatirlar-misin-siiri/,,,,Belirsiz,0,0
254,Giden Gençliğe Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/giden-genclige-siiri/,,,,Belirsiz,0,0
255,Zaman Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/zaman-24-siiri/,,,,Belirsiz,0,0
256,Değişik Zamanlar Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/degisik-zamanlar-siiri/,,,,Belirsiz,0,0
257,Şaşırtmaca Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/sasirtmaca-siiri/,,,,Belirsiz,0,0
258,Doremifa Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/doremifa-siiri/,,,,Belirsiz,0,0
259,Faruk Nafiz Çamlıbel,https://www.antoloji.com/faruk-nafiz-camlibel-siiri/,,,,Belirsiz,0,0
260,Ölülerin Gözyaşı Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/olulerin-gozyasi-siiri/,,,,Belirsiz,0,0
261,Güller Ağlar İçimde,https://www.antoloji.com/guller-aglar-icimde-siiri/,,,,Belirsiz,0,0
262,Bu Şehrin Sokakları,https://www.antoloji.com/bu-sehrin-sokaklari-siiri/,,,,Belirsiz,0,0
263,Ses Duvarı Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/ses-duvari-siiri/,,,,Belirsiz,0,0
264,Musiki Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/musiki-siiri/,,,,Belirsiz,0,0
265,Yalnız Kadınlar Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/yalniz-kadinlar-siiri/,,,,Belirsiz,0,0
266,Ölüme Gazel Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/olume-gazel-siiri/,,,,Belirsiz,0,0
267,Teselli Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/teselli-7-siiri/,,,,Belirsiz,0,0
268,Çirkin Kadınlar Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/cirkin-kadinlar-siiri/,,,,Belirsiz,0,0
269,İhtiras Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/ihtiras-siiri/,,,,Belirsiz,0,0
270,Güneyin Ağustosları,https://www.antoloji.com/guneyin-agustoslari-siiri/,,,,Belirsiz,0,0
271,Yanan Gül Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/yanan-gul-siiri/,,,,Belirsiz,0,0
272,Yalnızlığa Sone Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/yalnizliga-sone-siiri/,,,,Belirsiz,0,0
273,Üç Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/uc-2-siiri/,,,,Belirsiz,0,0
274,Karanlıklar Üstüne Şiiri - Ümit Yaşar Oğ ...,https://www.antoloji.com/karanliklar-ustune-siiri/,,,,Belirsiz,0,0
275,Sensizliğe Sone Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/sensizlige-sone-siiri/,,,,Belirsiz,0,0
276,Türk İnsanlığı Şiiri - Önder Karaçay,https://www.antoloji.com/turk-insanligi-siiri/,,E-Kitap,,Belirsiz,0,0
277,Yaşam İnsana Ektiğini Biçtirir,https://www.antoloji.com/yasam-insana-ektigini-bictirir-siiri/,,E-Kitap,,Belirsiz,0,0
278,Kutlu olsun Şiiri - Ahmet Arslan Hadimi,https://www.antoloji.com/kutlu-olsun-79-siiri/,,,,Belirsiz,0,0
279,Sensiz Şehirler Şiiri - Kudret Kobal,https://www.antoloji.com/sensiz-sehir-7-siiri/,,E-Kitap,,Belirsiz,0,0
280,Davet*,https://www.antoloji.com/davet-300-siiri/,,,,Belirsiz,0,0
281,Deli Olmak İşten Değil,https://www.antoloji.com/deli-olmak-isten-degil-siiri/,,,,Belirsiz,0,0
282,Orası Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/orasi-siiri/,,,,Belirsiz,0,0
283,Niğde'den Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/nigde-den-siiri/,,,,Belirsiz,0,0
284,Yarınlara Açılan Pencere,https://www.antoloji.com/yarinlara-acilan-pencere-siiri/,,,,Belirsiz,0,0
285,Kıskanç Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/kiskanc-siiri/,,,,Belirsiz,0,0
286,Yalnızlığı Kadınların,https://www.antoloji.com/yalnizligi-kadinlarin-siiri/,,,,Belirsiz,0,0
